,Year,Type,Country,Area,Location,Activity,Injury,Time
2943,1981.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",surfing,Laceration to foot,06:00 - 08:59
2949,1981.0,Unprovoked,BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",surfing,Upper right arm bitten,12:00 - 14:59
2951,1981.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,surfing,7 lacerations to right foot,09:00 - 11:59
2952,1981.0,Unprovoked,USA,Florida,Carter Cay,fishing,Left foot & ankle lacerated,18:00 - 20:59
2957,1981.0,Unprovoked,SOUTH KOREA,Chungnam,Wae-yeon Island,swimming,FATAL,12:00 - 14:59
2958,1981.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,surfing,"Shark & board collided. No injury, but board was dented",06:00 - 08:59
2961,1981.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,King's Beach,surfing,"No Injury, board bitten",12:00 - 14:59
2964,1981.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,surfing,"Left leg bitten, surgically amputated",09:00 - 11:59
2965,1981.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",playing,"Lacerations on calf, ankle & heel",15:00 - 17:59
2966,1981.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",surfing,Puncture wounds on  right thigh,15:00 - 17:59
2967,1981.0,Unprovoked,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",swimming,Foot & ankle bitten,09:00 - 11:59
2969,1981.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,swimming,Foot lacerated,15:00 - 17:59
2972,1981.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing,Lacerations & punctures in left calf & ankle,12:00 - 14:59
2976,1981.0,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,surfing,"No injury, ski bitten",06:00 - 08:59
2978,1980.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,surfing,"No injury, paddleski bitten",15:00 - 17:59
2980,1980.0,Unprovoked,REUNION,Grand'Anse,Petite-Ile,fishing,Bitten twice,15:00 - 17:59
2984,1980.0,Unprovoked,USA,Oregon,Off Umpqua River,surfing,Thigh lacerated,15:00 - 17:59
2985,1980.0,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",surfing,No injury,09:00 - 11:59
2990,1980.0,Unprovoked,USA,New Jersey,"Ocean City, Cape May County",surfing,Back bitten,15:00 - 17:59
2991,1980.0,Unprovoked,USA,Delaware,Dewey Beach,playing,"No injury, shark bit her bathing suit",12:00 - 14:59
2995,1980.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fuller's Bay,surfing,"No injury, board bitten",06:00 - 08:59
2998,1980.0,Unprovoked,MEXICO,Sinaloa,Mazatlán,surfing,Right calf bitten,12:00 - 14:59
3000,1980.0,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",swimming,Right leg bitten,12:00 - 14:59
3003,1980.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Ballito,surfing,"Both hands & heel of left foot lacerated, right foot severed",12:00 - 14:59
3007,1980.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,King's Beach,swimming,3 small punctures on arm,18:00 - 20:59
3008,1980.0,Unprovoked,CHILE,Los Vilos,"Punta Negra, Pichidangui",swimming,FATAL  ,09:00 - 11:59
3013,1979.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kenton-on-Sea,swimming,Shin lacerated,15:00 - 17:59
3016,1979.0,Unprovoked,USA,Oregon,"Haystack Rock, Cannon Beach, Clatsop County",surfing,Multiple major Injuries,09:00 - 11:59
3030,1979.0,Unprovoked,USA,Florida,"Public Beach (Carlin Park), Jupiter, Palm Beach County",swimming,Right foot & ankle lacerated,12:00 - 14:59
3031,1979.0,Unprovoked,USA,Florida,"Municipal Beach, Boyton Beach, Palm Beach County",surfing,Right foot bitten,09:00 - 11:59
3032,1979.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",surfing,Foot & ankle bitten,09:00 - 11:59
3033,1979.0,Unprovoked,USA,California,"Ano Nuevo Island, San Mateo, County",swimming,"No injury, swim fin bitten",09:00 - 11:59
3036,1979.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,surfing,Punctures on left thigh,12:00 - 14:59
3039,1978.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,fishing,"FATAL, legs bitten ",15:00 - 17:59
3043,1978.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay",fishing,"No injury, shark took his catch, then towed & pushed diver through the water ",15:00 - 17:59
3044,1978.0,Unprovoked,ITALY,Tyrrhenian Sea,Capo d'Anzio,swimming,No injury,09:00 - 11:59
3046,1978.0,Unprovoked,USA,California,"Pajaro Dunes, Santa Cruz County",playing,Punctures on leg (minor injury),12:00 - 14:59
3057,1978.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",fishing,"Shark jumped in boat, but no injury to occupants",03:00 - 05:59
3059,1978.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Glenashley,surfing,"Left leg, ankle & foot bitten",12:00 - 14:59
3065,1977.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Qolera River,surfing,"Both legs bitten, 2 days later gangrene necessitated surgical amputation of left leg at mid-thigh",09:00 - 11:59
3068,1977.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Bluegums Rock, Partridge Point",fishing,"No injury, shark bit speargun & pushed diver through the water",15:00 - 17:59
3069,1977.0,Unprovoked,AUSTRALIA,South Australia,"Cactus Beach, near Ceduna",surfing,"Board rammed &  bitten, left thigh lacerated",15:00 - 17:59
3072,1977.0,Unprovoked,USA,California,"McClure Beach, near Tomales Point, Marin County",surfing,Leg lacerated,09:00 - 11:59
3081,1977.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lappiesbaai Beach, Stilbaai",swimming,Right foot bitten,15:00 - 17:59
3088,1977.0,Unprovoked,MEXICO,Guerrero,La Playa Hornos (near Acapulco),swimming,"FATAL, left leg severed, neck cut  ",12:00 - 14:59
3090,1976.0,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",swimming,Buttocks & hip bitten,09:00 - 11:59
3093,1976.0,Unprovoked,USA,Florida,"Delray Beach, Palm Beach County",surfing,"Right arm severed 1"" below elbow with extensive tissue loss 3"" above elbow",09:00 - 11:59
3097,1976.0,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",surfing,Leg bitten ,12:00 - 14:59
3098,1976.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,surfing,Left thigh lacerated,09:00 - 11:59
3104,1976.0,Unprovoked,USA,Florida,"Sebastian, Indian River County",surfing,Laceration to left lower leg,12:00 - 14:59
3106,1976.0,Unprovoked,USA,Oregon,Winchester Bay,surfing,"No injury, board bitten",12:00 - 14:59
3107,1976.0,Unprovoked,USA,Florida,St. Lucie County,fishing,Lacerations to forearms,09:00 - 11:59
3111,1976.0,Unprovoked,USA,Florida,"St. Andrews State Park, Bay County",swimming,Lacerations to right arm,21:00 - 23:59
3117,1976.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Lacerations to left leg,12:00 - 14:59
3126,1976.0,Unprovoked,NEW ZEALAND,North Island,"Te Kaha, East coast",fishing,FATAL,12:00 - 14:59
3129,1975.0,Unprovoked,USA,California,Farallon Islands,swimming,Leg bitten,12:00 - 14:59
3132,1975.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",playing,Left foot lacerated,09:00 - 11:59
3139,1975.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,surfing,Left leg & surfboard bitten,12:00 - 14:59
3140,1975.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",swimming,"Calf bitten, leg surgically amputated below the knee  Note: by late August, 3 more bathers had been bitten by sharks at Daytona Beach",12:00 - 14:59
3141,1975.0,Unprovoked,USA,California,"Usal Creek, Bear Harbor, Mendocino County",swimming,"Shoulder, arm & hand lacerated",12:00 - 14:59
3144,1975.0,Unprovoked,AUSTRALIA,Tasmania,"Fluted Cape, Bruny Island",swimming,FATAL,12:00 - 14:59
3147,1975.0,Unprovoked,USA,California,"Perch Rock, Point Conception, Santa Barbara County",surfing,Legs bitten,12:00 - 14:59
3148,1975.0,Unprovoked,USA,California,"Point Conception, Santa Barbara County",swimming,"No injury, swim fin torn",12:00 - 14:59
3149,1975.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Arm lacerated,09:00 - 11:59
3152,1975.0,Unprovoked,USA,South Carolina,"Windy Hill, near Myrtle Beach, Horry County",swimming,Lacerations to right foot,15:00 - 17:59
3153,1975.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",playing,Hand & wrist bitten,12:00 - 14:59
3157,1975.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot bitten,09:00 - 11:59
3161,1975.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,fishing,"No injury, rammed by shark",12:00 - 14:59
3168,1975.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",surfing,Foot severed,09:00 - 11:59
3170,1975.0,Unprovoked,AUSTRALIA,South Australia,(Point Sinclair) Penong,swimming,Right leg  severed FATAL,18:00 - 20:59
3178,1974.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",playing,Laceration to foot,12:00 - 14:59
3179,1974.0,Unprovoked,USA,California,"North of Point Sur, Monterey County",surfing,"Thigh, lower back and surfboard bitten",06:00 - 08:59
3180,1974.0,Unprovoked,USA,California,"North Farallon Island, Farallon Islands",swimming,Major injuries,12:00 - 14:59
3181,1974.0,Unprovoked,ISRAEL,Red Sea,"North Beach, Eilat",swimming,"Bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated ",15:00 - 17:59
3182,1974.0,Unprovoked,USA,California,"Franklin Point, San Mateo County",surfing,Minor injuries to hand,15:00 - 17:59
3183,1974.0,Unprovoked,USA,California,"Franklin Point, San Mateo County",surfing,Minor bite on foot & swimfin,15:00 - 17:59
3185,1974.0,Unprovoked,USA,Oregon,Myers Creek,surfing,No injury,06:00 - 08:59
3195,1974.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Lacerations to hip and leg,06:00 - 08:59
3196,1974.0,Unprovoked,USA,California,"Tomales Point, Marin County",surfing,Leg bitten,09:00 - 11:59
3198,1974.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,fishing,Left knee lacerated,15:00 - 17:59
3199,1974.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,playing,Lower right leg lacerated,15:00 - 17:59
3201,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",surfing,Right foot lacerated,15:00 - 17:59
3202,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,surfing,"No injury, surfboard bitten",15:00 - 17:59
3204,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",swimming,"Right calf removed, leg surgically amputated below the knee",18:00 - 20:59
3205,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",swimming,Right shin lacerated,18:00 - 20:59
3210,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,swimming,Knee & calf lacerated,12:00 - 14:59
3215,1973.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,fishing,"Right leg severed at knee, abrasion on left ankle",09:00 - 11:59
3216,1973.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,swimming,FATAL,12:00 - 14:59
3219,1973.0,Unprovoked,MEXICO,Guerrero,Acapulco Bay,swimming,FATAL,15:00 - 17:59
3221,1973.0,Unprovoked,USA,Florida,"Ormond By The Sea, Volusia County",surfing,Foot bitten,12:00 - 14:59
3224,1973.0,Unprovoked,BAHAMAS,Grand Bahama Island,"Memory Rock, 18 miles from NW end of the Island",swimming,Left hand & forearm lacerated,12:00 - 14:59
3226,1973.0,Unprovoked,MEXICO,Baja California,Guadalupe Island,swimming,"FATAL, leg bitten ",15:00 - 17:59
3232,1973.0,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",playing,"FATAL, multiple bites ",18:00 - 20:59
3234,1973.0,Unprovoked,MOZAMBIQUE,Gaza,"Chongeone, Xai Xai",fishing,FATAL,06:00 - 08:59
3235,1973.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,fishing,Hip bruised,06:00 - 08:59
3241,1973.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,surfing,"No injury, surboard flung into air & dented",06:00 - 08:59
3242,1972.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,swimming,Lower left leg & foot bitten,12:00 - 14:59
3243,1972.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,swimming,"Hip, leg, arm, hand & shoulder bitten",15:00 - 17:59
3244,1972.0,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",surfing,"FATAL, hand severed, right leg and torso bitten ",12:00 - 14:59
3245,1972.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,swimming,"No injury, swim fin bitten",09:00 - 11:59
3254,1972.0,Unprovoked,USA,California,"Point Sur, Monterey County",surfing,Legs & board bitten,09:00 - 11:59
3256,1972.0,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",surfing,Left calf bitten,18:00 - 20:59
3262,1972.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",surfing,Buttocks bitten,09:00 - 11:59
3263,1972.0,Unprovoked,USA,California,"Bird Rock, near Tomales Point, Marin County",swimming,Bitten on legs & buttock,12:00 - 14:59
3267,1972.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,swimming,FATAL,15:00 - 17:59
3270,1972.0,Unprovoked,AUSTRALIA,Victoria,"Wilson's Promontory, Waratah Bay",surfing,Laceration above knee,09:00 - 11:59
3274,1972.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,playing,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",15:00 - 17:59
3278,1971.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",swimming,Right forearm bitten,12:00 - 14:59
3282,1971.0,Unprovoked,USA,Florida,"Ft. Pierce, St Lucie County",surfing,"Right shoulder, arm & hand bitten",12:00 - 14:59
3283,1971.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",swimming,Wrist & hand lacerated,18:00 - 20:59
3284,1971.0,Unprovoked,USA,California,"Sea Ranch, Sonoma County",swimming,Bitten on legs,12:00 - 14:59
3286,1971.0,Unprovoked,CROATIA,Istria County,Ika,swimming,FATAL,09:00 - 11:59
3289,1971.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",playing,Laceration to left ankle,12:00 - 14:59
3291,1971.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,surfing,Leg & surfboard bitten,15:00 - 17:59
3294,1971.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay,swimming,"FATAL, multiple bites ",09:00 - 11:59
3295,1971.0,Unprovoked,MEXICO,Guerrero,"Copacabana Beach, Acapulco",surfing,"FATAL, left thigh bitten ",09:00 - 11:59
3299,1971.0,Unprovoked,NEW ZEALAND,South Island,Dunedin,surfing,Lacerations to left leg ,09:00 - 11:59
3304,1970.0,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhasoka, Inhambe Bay",fishing,"FATAL, arm severed  ",15:00 - 17:59
3306,1970.0,Unprovoked,MICRONESIA,Namonuito Atoll,Pisarach (Pisaras),fishing,Laceration to thigh,21:00 - 23:59
3311,1970.0,Unprovoked,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,swimming,Lacerations & punctures to right arm & shoulder ,09:00 - 11:59
3313,1970.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",swimming,Laceration to left foot,09:00 - 11:59
3321,1970.0,Unprovoked,GRENADA,St. Andrew Parish,Grenville,playing,"FATAL, multiple injuries to both legs  ",12:00 - 14:59
3322,1970.0,Unprovoked,GRENADA,St. Andrew Parish,Grenville,playing,"FATAL, body not recovered",12:00 - 14:59
3324,1970.0,Unprovoked,GRENADA,St. Andrew Parish,Grenville,swimming,"FATAL, body not recovered",15:00 - 17:59
3328,1970.0,Unprovoked,USA,Florida,Manatee County,playing,Foot & calf lacerated,15:00 - 17:59
3344,1970.0,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,swimming,"FATAL, left leg severed",12:00 - 14:59
3345,1970.0,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,fishing,Left hand bitten,12:00 - 14:59
3346,1969.0,Unprovoked,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",swimming,Left thigh lacerated,12:00 - 14:59
3349,1969.0,Unprovoked,USA,Hawaii,Hawaii,swimming,No injury,06:00 - 08:59
3350,1969.0,Unprovoked,USA,California,"Bird Rock, Tomales Point, near Marin County / Sonoma County border",swimming,Leg & ankle severely bitten,09:00 - 11:59
3351,1969.0,Unprovoked,USA,Florida,"North Beach, St. Lucie County",swimming,Laceration to right leg,12:00 - 14:59
3353,1969.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to lower leg,06:00 - 08:59
3354,1969.0,Unprovoked,USA,Florida,"St. Petersburg, Pinnellas County",surfing,Lacerations to right lower leg & left arm and hand,15:00 - 17:59
3358,1969.0,Unprovoked,USA,California,"Pigeon Point, San Mateo County",surfing,"Foot bitten, minor injury",12:00 - 14:59
3359,1969.0,Unprovoked,USA,Florida,Florida Keys,playing,No details,15:00 - 17:59
3360,1969.0,Unprovoked,JAMAICA,Clarendon,Off Rocky Point,swimming,Multiple lacerations,06:00 - 08:59
3361,1969.0,Unprovoked,USA,Florida,Sarasota County,playing,No injury,18:00 - 20:59
3369,1969.0,Unprovoked,USA,Hawaii,"Makaha, O'ahu",surfing,Leg & surfboard bitten,15:00 - 17:59
3372,1969.0,Unprovoked,AUSTRALIA,New South Wales,Beecroft Head,swimming,Abrasions and lacerations to lower right leg,06:00 - 08:59
3377,1968.0,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",surfing,"Hit in face by shark, arm abraded, surfboard bitten",15:00 - 17:59
3388,1968.0,Unprovoked,NEW ZEALAND,South Island,Otago Harbor,fishing,"FATAL, left leg bitten, femoral artery severed  ",09:00 - 11:59
3389,1968.0,Unprovoked,USA,Florida,Half mile north of Juno Beach Pier,playing,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",15:00 - 17:59
3390,1968.0,Unprovoked,USA,Florida,Okaloosa County,playing,Leg & arm bitten,15:00 - 17:59
3393,1968.0,Unprovoked,COLUMBIA,Magdalena Department,"Makuaka Caño, Taganga",fishing,Lacerations to head,09:00 - 11:59
3394,1968.0,Unprovoked,USA,California,"Bodega Rock, Sonoma County",swimming,Major injury to torso,09:00 - 11:59
3395,1968.0,Unprovoked,USA,Florida,Florida Keys,playing,Abrasions on lower leg,12:00 - 14:59
3396,1968.0,Unprovoked,USA,South Carolina,"Stono Inlet, near Charleston, Charleston County",fishing,Swimfin & knee bitten,12:00 - 14:59
3409,1968.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,playing,Left thigh lacerated,12:00 - 14:59
3410,1968.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",surfing,Foot lacerated,12:00 - 14:59
3412,1968.0,Unprovoked,USA,Florida,Palm Beach County,surfing,Foot lacerated,12:00 - 14:59
3413,1968.0,Unprovoked,AUSTRALIA,Western Australia,Swan River,swimming,Thigh lacerated,15:00 - 17:59
3415,1968.0,Unprovoked,AUSTRALIA,South Australia,Cape Jervis,fishing,"No injury, speargun bitten",18:00 - 20:59
3418,1968.0,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Finschafen,swimming,FATAL,15:00 - 17:59
3422,1967.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,surfing,Right ankle & foot bitten,12:00 - 14:59
3433,1967.0,Unprovoked,USA,Florida,"McArthur Beach, Singer Island, Palm Beach Shores",playing,Left foot bitten,15:00 - 17:59
3438,1967.0,Unprovoked,USA,Florida,"Key West, Monroe County",fishing,Survived,12:00 - 14:59
3444,1967.0,Unprovoked,AUSTRALIA,Western Australia,Jurien Bay,fishing,"FATAL, ""bitten in two""",09:00 - 11:59
3445,1967.0,Unprovoked,BERMUDA,Hamilton,Hamilton,swimming,Right foot abraded & lacerated,15:00 - 17:59
3448,1967.0,Unprovoked,USA,Florida,Near Key West,fishing,Shark grasped thigh,12:00 - 14:59
3451,1967.0,Unprovoked,USA,Florida,Florida Keys,swimming,Foot lacerated,12:00 - 14:59
3452,1967.0,Unprovoked,TURKEY,Mugla Province,Kucukada Island,fishing,FATAL,12:00 - 14:59
3460,1967.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,fishing,"Punctures in right buttock & thigh, abrasion on right forearm",06:00 - 08:59
3473,1966.0,Unprovoked,SINGAPORE,,Singapore,playing,Thigh bitten,12:00 - 14:59
3477,1966.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Lamassa Island, 16 miles from Lambom Island",swimming,FATAL,06:00 - 08:59
3478,1966.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Mission Beach, Lambon Island, near Duke of York Islands",playing,FATAL,09:00 - 11:59
3479,1966.0,Unprovoked,AUSTRALIA,Queensland,"Broomfield Island, 11 miles from Heron Island on the Great Barrier Reef",swimming,Shoulder lacerated,15:00 - 17:59
3483,1966.0,Unprovoked,AUSTRALIA,Western Australia,Roe Reef off Rottnest Island,fishing,No injury,12:00 - 14:59
3492,1966.0,Unprovoked,TAIWAN,,Ye Leow,swimming,"No injury, but shark struck his calf",15:00 - 17:59
3495,1966.0,Unprovoked,USA,Florida,"Municipal Bathing area, Riviera Beach, Palm Beach County",playing,"No injury, mother lifted him from the water",15:00 - 17:59
3498,1966.0,Unprovoked,USA,Texas,"Point Comfort, Calhoun County",fishing,Lacerations to right foot,15:00 - 17:59
3505,1966.0,Unprovoked,USA,Texas,Bolivar Peninsula,swimming,Punctures on  thigh & buttock,15:00 - 17:59
3508,1966.0,Unprovoked,AUSTRALIA,New South Wales, Bellingen,fishing,Foot bitten,00:00 - 02:59
3516,1966.0,Unprovoked,AUSTRALIA,New South Wales,Coledale Beach,swimming,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",12:00 - 14:59
3519,1966.0,Unprovoked,USA,California,"Pebble Beach, Cypress Point, Monterey County",surfing,"Hand, arm & thigh bitten",09:00 - 11:59
3522,1966.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Riet River,playing,Right calf lacerated,09:00 - 11:59
3524,1966.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,surfing,Lower legs bitten,12:00 - 14:59
3525,1966.0,Unprovoked,NEW ZEALAND,North Island,"Oakura Beach, Taranaki",surfing,"FATAL, left leg bitten thigh to calf  ",15:00 - 17:59
3526,1966.0,Unprovoked,USA,Florida,"Hollywood, Broward County",swimming,Thigh gashed,15:00 - 17:59
3534,1965.0,Unprovoked,AUSTRALIA,Queensland,Oak Beach,surfing,Puncture wounds to right thigh,15:00 - 17:59
3544,1965.0,Unprovoked,USA,New Jersey,"Steel Pier, Atlantic City, Atlantic County",swimming,Right thigh lacerated,15:00 - 17:59
3546,1965.0,Unprovoked,MEXICO,Veracruz,Mocambo,playing,"FATAL, both legs severed ",15:00 - 17:59
3550,1965.0,Unprovoked,MEXICO,Veracruz,Mocambo,swimming,"Right forearm severed, right leg bitten and surgically amputated",12:00 - 14:59
3553,1965.0,Unprovoked,MEXICO,Veracruz,Playa Mocambo,swimming,"FATAL, left leg & right arm severed ",12:00 - 14:59
3560,1965.0,Unprovoked,USA,Florida,American Shoals off Key West,fishing,Left hand severely lacerated,09:00 - 11:59
3561,1965.0,Unprovoked,PALAU,Western Caroline Islands,Koror,playing,Right leg bitten,15:00 - 17:59
3562,1965.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing,Left hand punctured & lacerated,06:00 - 08:59
3564,1965.0,Unprovoked,USA,Florida,"Pompano Beach, Palm Beach County",swimming,Survived,12:00 - 14:59
3565,1965.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amatikulu,swimming,"Abdomen, buttock, thigh, arm & hand bitten",15:00 - 17:59
3566,1965.0,Unprovoked,USA,Massachusetts,"Granite Pier, Rockport",swimming,Punctures on left thigh,12:00 - 14:59
3569,1965.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",surfing,Right thigh punctured,15:00 - 17:59
3579,1964.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,swimming,"Hand, ankle & calf lacerated",15:00 - 17:59
3582,1964.0,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Off Sing Village, Buka Island",swimming,Survived,15:00 - 17:59
3584,1964.0,Unprovoked,AUSTRALIA,Victoria ,Lady Julia Percy Island,swimming,Left leg severed,12:00 - 14:59
3585,1964.0,Unprovoked,AUSTRALIA,Queensland,"Fingal Beach, near Tweed Heads",swimming,FATAL,12:00 - 14:59
3590,1964.0,Unprovoked,AUSTRALIA,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth",surfing,Abrasions & 11 teethmarks on right lower leg,09:00 - 11:59
3592,1964.0,Unprovoked,TAIWAN,Northern Taiwan,"Tamsui Beach, Taipai",swimming,FATAL,12:00 - 14:59
3593,1964.0,Unprovoked,TAIWAN,Northern Taiwan,Tamsui Beach,swimming,Right thigh &  elbow bitten,12:00 - 14:59
3594,1964.0,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",swimming,Bruised & abraded ankle,12:00 - 14:59
3595,1964.0,Unprovoked,MEXICO,Guerrero,Acapulco,swimming,Right thigh bitten,12:00 - 14:59
3597,1964.0,Unprovoked,USA,Florida,"Panama City, Bay County",swimming,"No injury,  bumped repeatedly",09:00 - 11:59
3598,1964.0,Unprovoked,USA,Florida,"2 miles off Jupiter, Palm Beach County",fishing,"No injury, shark hit scuba tank",12:00 - 14:59
3615,1964.0,Unprovoked,FIJI,Vita Levu,Naviti,fishing,"FATAL, buttocks, lower abdomen & genitalia removed  ",09:00 - 11:59
3620,1964.0,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",swimming,"Minor injury, abdomen abraded when he collided with the shark",15:00 - 17:59
3624,1964.0,Unprovoked,FIJI,Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",fishing,"FATAL, thigh and abdomen bitten ",09:00 - 11:59
3625,1964.0,Unprovoked,NEW ZEALAND,North Island,"Palliser Bay, Whatarangi (east of Wellington)",swimming,Hand lacerated,12:00 - 14:59
3626,1964.0,Unprovoked,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",fishing,"No injury to diver, shark bit speargun",18:00 - 20:59
3627,1964.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,surfing,Right ankle lacerated,06:00 - 08:59
3629,1964.0,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",swimming,"FATAL, both legs bitten & right leg severed at knee ",06:00 - 08:59
